Diabolic Tutor,"134"
Tidings,"115"
Youthful Knight,"61"
Giant Growth,"265"
Plague Wind,"168"
Colossus of Sardia,"316"
Mind Rot,"158"
Lava Axe,"214"
Commune with Nature,"255"
Goblin Piker,"208"
Wall of Air,"123"
Fugitive Wizard,"85"
Shock,"231"
Bogardan Firefiend,"192"
Cone of Flame,"193"
Telling Time,"113"
Doubling Cube,"320"
Venerable Monk,"54"
Mogg Fanatic,"218"
Shunt,"232"
Aggressive Urge,"249"
Plague Beetle,"167"
High Ground,"19"
Mind Bend,"92"
Phyrexian Rager,"166"
Coat of Arms,"315"
Reviving Dose,"33"
Deluge,"78"
Verdant Force,"306"
Craw Wurm,"256"
Dragon's Claw,"321"
Molimo, Maro-Sorcerer,"279"
Remove Soul,"99"
Leonin Scimitar,"330"
Evacuation,"82"
Adarkar Wastes,"346"
Uncontrollable Anger,"243"
Viridian Shaman,"307"
Voice of All,"55"
Spiketail Hatchling,"110"
Flashfreeze,"83"
Story Circle,"48"
Skyhunter Patrol,"40"
Spirit Link,"44"
Counsel of the Soratami,"75"
Lavaborn Muse,"215"
Millstone,"333"
Scoria Wurm,"226"
Kjeldoran Royal Guard,"24"
Time Stop,"116"
Ancestor's Chosen,"0"
Arcanis the Omnipotent,"65"
Brushland,"348"
Citanul Flute,"314"
Treasure Hunter,"51"
Sea Monster,"105"
Earth Elemental,"198"
Plagiarize,"96"
Recover,"171"
Lord of the Pit,"153"
Primal Rage,"285"
Viashino Sandscout,"245"
Warrior's Honor,"57"
Field Marshal,"14"
Dusk Imp,"139"
Yavimaya Enchantress,"309"
Plains,"363,364,365,366"
Pariah,"32"
Skyhunter Skirmisher,"42"
Highway Robber,"149"
Icy Manipulator,"325"
Lure,"275"
Spitting Earth,"237"
Kavu Climber,"272"
Soul Feast,"178"
Shimmering Wings,"106"
Tundra Wolves,"53"
Civic Wayfinder,"254"
Cephalid Constable,"71"
Abundance,"248"
Holy Strength,"21"
Scion of the Wild,"294"
Festering Goblin,"142"
Essence Drain,"140"
Mind Stone,"334"
Legacy Weapon,"329"
Hill Giant,"211"
Samite Healer,"37"
Serra Angel,"38"
Cryoclasm,"194"
Dragon Roost,"196"
Nekrataal,"162"
Shivan Reef,"356"
Prodigal Pyromancer,"220"
Head Games,"147"
Beacon of Immortality,"9"
Vedalken Mastermind,"122"
Thieving Magpie,"114"
Elvish Champion,"260"
Might Weaver,"277"
Mortal Combat,"159"
Heart of Light,"18"
Glorious Anthem,"16"
Llanowar Wastes,"354"
Sage Owl,"103"
Skyshroud Ranger,"296"
Bottle Gnomes,"311"
Ornithopter,"335"
Furnace Whelp,"204"
Hate Weaver,"146"
Battlefield Forge,"347"
Mountain,"375,376,377,378"
Regeneration,"289"
Rock Badger,"225"
Clone,"72"
Tangle Spider,"302"
Orcish Artillery,"219"
Aven Windreader,"68"
Thrull Surgeon,"182"
Sleeper Agent,"177"
Denizen of the Deep,"79"
Agonizing Memories,"125"
Telepathy,"112"
Hypnotic Specter,"150"
Overrun,"283"
Birds of Paradise,"251"
Rain of Tears,"169"
Fog Elemental,"84"
Razormane Masticore,"339"
Angel's Feather,"310"
Starlight Invoker,"46"
Puppeteer,"97"
Troll Ascetic,"304"
Peek,"93"
Spirit Weaver,"45"
Sulfurous Springs,"358"
Mahamoti Djinn,"89"
Royal Assassin,"173"
Might of Oaks,"276"
Bloodfire Colossus,"190"
Cloud Elemental,"73"
Relentless Assault,"224"
Kamahl, Pit Fighter,"213"
Llanowar Elves,"273"
Rootwater Matriarch,"102"
Stun,"239"
Phantom Warrior,"95"
Reminisce,"98"
Goblin King,"206"
